,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
34,2020-01-21 06:02:43,lasisielenu,,370,1312,4065,Narcos Remake Gone Wrong. Tag 5 friends that love drug movies. Ft @crazeclown @SamAndCasOkanpic.twitter.com/B5JNZwKlJa,,@crazeclown @SamAndCasOkanpic,,1.21950055037241E+018,https://twitter.com/lasisielenu/status/1219500550372413440,video,28800,pic.twitter.com/B,Lasisi
36,2020-01-20 06:49:07,lasisielenu,,770,2962,10559,Tag 5 friends #Sinzumoney #jacuzzi #spending #lasisielenupic.twitter.com/fV7QADdm2L,,,#Sinzumoney #jacuzzi #spending #lasisielenupic,1.2191498431108E+018,https://twitter.com/lasisielenu/status/1219149843110801409,video,146600,pic.twitter.com/f,Lasisi
37,2020-01-16 11:57:23,lasisielenu,,197,590,2255,Date night part 3 pic.twitter.com/P43xMeRfWF,,,,1.21777786892056E+018,https://twitter.com/lasisielenu/status/1217777868920557574,video,22900,pic.twitter.com/P,Lasisi
38,2020-01-16 11:06:18,lasisielenu,,112,540,2432,Date night art 2 pic.twitter.com/D8FaQ9gu39,,,,1.21776501061888E+018,https://twitter.com/lasisielenu/status/1217765010618884097,video,20100,pic.twitter.com/D,Lasisi
39,2020-01-13 07:29:17,lasisielenu,,461,1626,7449,Felt like living in bondage every damn day. Tag a sibling and friends. pic.twitter.com/vXuJzgihrk,,,,1.21662323345114E+018,https://twitter.com/lasisielenu/status/1216623233451143169,video,50700,pic.twitter.com/v,Lasisi
40,2020-01-11 06:15:35,lasisielenu,,757,2018,8245,The torture was real. Tag 5 people and that one winch of a sibling. pic.twitter.com/6RsKsWEowC,,,,1.2158799125544E+018,https://twitter.com/lasisielenu/status/1215879912554401792,video,67500,pic.twitter.com/6,Lasisi
46,2020-01-09 06:26:43,lasisielenu,,1899,7463,23618,Life of a G boy pic.twitter.com/Kwk5oS2pT7,,,,1.21515793886576E+018,https://twitter.com/lasisielenu/status/1215157938865758208,video,293400,pic.twitter.com/K,Lasisi
47,2020-01-08 05:58:33,lasisielenu,,199,769,3852,Date Night. Part one. To be continued. pic.twitter.com/QUuKNmQ8qO,,,,1.21478846255507E+018,https://twitter.com/lasisielenu/status/1214788462555074560,video,33200,pic.twitter.com/Q,Lasisi
48,2020-01-07 16:27:23,lasisielenu,,116,169,2145,7am tomorrow morning guys.pic.twitter.com/5FCX6QDK25,,,,1.21458432283505E+018,https://twitter.com/lasisielenu/status/1214584322835046406,picture,0,pic.twitter.com/5,Lasisi
49,2020-01-05 19:11:41,lasisielenu,,118,235,2057,OMG Hit the link to watch full video now. https://youtu.be/QdaHavUK-rk pic.twitter.com/qI5zb4uAVW,,,,1.21390089588648E+018,https://twitter.com/lasisielenu/status/1213900895886479360,video,20500,pic.twitter.com/q,Lasisi
50,2020-01-04 05:56:23,lasisielenu,,389,1154,6251,Childhood memories. Tag 5 friends if you went through this.pic.twitter.com/nRVFUt4Hfg,,,,1.21333836593382E+018,https://twitter.com/lasisielenu/status/1213338365933817856,video,44800,pic.twitter.com/n,Lasisi
51,2020-01-03 11:01:48,lasisielenu,,302,729,4011,A prayer or two please pic.twitter.com/pZlmJqREfP,,,,1.21305283544682E+018,https://twitter.com/lasisielenu/status/1213052835446824961,video,29000,pic.twitter.com/p,Lasisi
52,2020-01-02 06:59:13,lasisielenu,,991,2740,10146,Africa is Great.... pic.twitter.com/CaKpPXvNLX,,,,1.21262940003177E+018,https://twitter.com/lasisielenu/status/1212629400031768576,video,80300,pic.twitter.com/C,Lasisi
53,2020-01-01 11:49:39,lasisielenu,,362,1462,5886,Happy New Year Guys!!pic.twitter.com/hp6wqhpHOo,,,,1.21234010185609E+018,https://twitter.com/lasisielenu/status/1212340101856088065,video,50600,pic.twitter.com/h,Lasisi
