,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
8,2020-01-25 10:06:25,Maraji_,,148,1447,3796,Stop using Boss /Chairman Illegally pic.twitter.com/eVOKhchKxa,,,,1.22101143176582E+018,https://twitter.com/Maraji_/status/1221011431765823489,video,46000,pic.twitter.com/e,Maraji
18,2020-01-15 09:28:25,Maraji_,,542,3732,9714,"I just ignore , I no get get time pic.twitter.com/7CKBLzuuvs",,,,1.21737799174081E+018,https://twitter.com/Maraji_/status/1217377991740809217,video,111400,pic.twitter.com/7,Maraji
21,2020-01-04 16:52:51,Maraji_,,1253,9508,22003,Just try and do your homework by yourself pic.twitter.com/QLIB8Ja1Zp,,,,1.21350357027807E+018,https://twitter.com/Maraji_/status/1213503570278068224,video,239800,pic.twitter.com/Q,Maraji
