,Unnamed: 0,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
24,62,2020-01-31 09:43:13,_Taaooma,,1061,5678,16662,A jaguar’s daughter . . @LeadwayInsurepic.twitter.com/uUEMs2EuPW,,@LeadwayInsurepic,,1.22317991975845E+018,https://twitter.com/_Taaooma/status/1223179919758446592,video,133300,pic.twitter.com/u,Taaooma
25,63,2020-01-30 20:15:28,_Taaooma,,80,181,2421,I’m in my mummy’s house and she gave me amala to eat so I’m hyperactive Go download Onome - @callmheflamez https://flamez.fanlink.to/onome pic.twitter.com/tP1pPnJOL3,,@callmheflamez,,1.22297664570908E+018,https://twitter.com/_Taaooma/status/1222976645709082626,video,38500,pic.twitter.com/t,Taaooma
26,64,2020-01-30 17:18:44,_Taaooma,,37,142,701,pic.twitter.com/GF5nxnkx4c,,,,1.22293216836575E+018,https://twitter.com/_Taaooma/status/1222932168365748225,picture,0,pic.twitter.com/G,Taaooma
27,65,2020-01-30 17:18:15,_Taaooma,,136,805,3358,pic.twitter.com/2zAtV9EW1q,,,,1.22293204752361E+018,https://twitter.com/_Taaooma/status/1222932047523610625,video,76400,pic.twitter.com/2,Taaooma
28,66,2020-01-30 17:15:36,_Taaooma,,675,4229,11170,Everybody come and see o .pic.twitter.com/zMNbAHO0vt,,,,1.22293137957243E+018,https://twitter.com/_Taaooma/status/1222931379572428800,video,161800,pic.twitter.com/z,Taaooma
29,67,2020-01-30 09:19:18,_Taaooma,,975,5789,16965,Birthday party rule number 1! pic.twitter.com/pBsXAZoQzk,,,,1.22281151273526E+018,https://twitter.com/_Taaooma/status/1222811512735260672,video,152500,pic.twitter.com/p,Taaooma
30,77,2020-01-27 10:06:26,_Taaooma,,791,5630,17222,IYA CHIDINMA please stay in your house next time .pic.twitter.com/UXi50gPDZi,,,,1.22173621188006E+018,https://twitter.com/_Taaooma/status/1221736211880062977,video,148400,pic.twitter.com/U,Taaooma
31,83,2020-01-24 09:27:27,_Taaooma,,83,324,7294,The Great AliBaba. pic.twitter.com/341wNekixF,,,,1.22063923692538E+018,https://twitter.com/_Taaooma/status/1220639236925378560,picture,0,pic.twitter.com/3,Taaooma
32,85,2020-01-24 08:12:04,_Taaooma,iamJokunle,9,15,448,pic.twitter.com/OCbb4vr6fh,,,,1.22062026747252E+018,https://twitter.com/_Taaooma/status/1220620267472523269,picture,0,pic.twitter.com/O,Taaooma
33,86,2020-01-24 08:09:36,_Taaooma,,194,1015,17252,I met Alibaba yesterday pic.twitter.com/PrHQwoGV1e,,,,1.22061964801578E+018,https://twitter.com/_Taaooma/status/1220619648015781890,picture,0,pic.twitter.com/P,Taaooma
34,88,2020-01-23 19:55:11,_Taaooma,,116,357,4422,One of my fav songspic.twitter.com/bTQdYkP2fJ,,,,1.22043482314104E+018,https://twitter.com/_Taaooma/status/1220434823141040131,video,58900,pic.twitter.com/b,Taaooma
35,92,2020-01-23 15:58:35,_Taaooma,blaq_denis,1,1,57,Hapic.twitter.com/z5O6SHFCnD,,,,1.22037528438765E+018,https://twitter.com/_Taaooma/status/1220375284387647489,picture,0,pic.twitter.com/z,Taaooma
36,95,2020-01-23 10:25:06,_Taaooma,Demo__UK,0,0,15,pic.twitter.com/F7efTInnuk,,,,1.22029135971999E+018,https://twitter.com/_Taaooma/status/1220291359719985152,picture,0,pic.twitter.com/F,Taaooma
37,98,2020-01-23 09:54:53,_Taaooma,akinbobola_seun,2,6,340,pic.twitter.com/jDWRN3vEM3,,,,1.22028375592075E+018,https://twitter.com/_Taaooma/status/1220283755920752643,picture,0,pic.twitter.com/j,Taaooma
38,101,2020-01-23 09:40:11,_Taaooma,Icon___ic,0,0,7,pic.twitter.com/1nGBf4JTif,,,,1.22028005614628E+018,https://twitter.com/_Taaooma/status/1220280056146276352,picture,0,pic.twitter.com/1,Taaooma
