date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-18 16:11:55,mrmacaronii,yosolamii,0,1,6,"Bless your Heart",,,,1229800724403572736,https://twitter.com/mrmacaronii/status/1229800724403572736
2020-02-18 16:11:44,mrmacaronii,Iam_Blanc,0,1,6,"I say Ooin!!",,,,1229800676072529922,https://twitter.com/mrmacaronii/status/1229800676072529922
2020-02-18 16:11:28,mrmacaronii,olamidesam2,8,1,8,"Send me your Akant number",,,,1229800610372997128,https://twitter.com/mrmacaronii/status/1229800610372997128
2020-02-18 16:10:43,mrmacaronii,OfficiallyEdem,0,0,3,"Always!!",,,,1229800422212341761,https://twitter.com/mrmacaronii/status/1229800422212341761
2020-02-18 15:14:37,mrmacaronii,,80,214,1523,"Ooin! We are doing well! pic.twitter.com/347WUW9ZxF",,,,1229786300913418240,https://twitter.com/mrmacaronii/status/1229786300913418240
2020-02-17 09:21:32,mrmacaronii,,99,200,1374,"Are we doing well??? // when should I drop this one with @twyse_116pic.twitter.com/9uKf6V0nIS",,@twyse_116pic,,1229335060106620928,https://twitter.com/mrmacaronii/status/1229335060106620928
2020-02-15 08:41:42,mrmacaronii,,663,3565,8958,"Worst Valentine Ever pic.twitter.com/J6YSnK4Buc",,,,1228600257090588672,https://twitter.com/mrmacaronii/status/1228600257090588672
2020-02-14 19:40:22,mrmacaronii,,22,160,824,"Fantabulous!!!! True love finally won. Make way for the latest couple on my plate of Indomie. #OG2020 #Myindomiemylove #HappyValentinepic.twitter.com/Rqs2ta5ZY4",,,#OG2020 #Myindomiemylove #HappyValentinepic,1228403628223934464,https://twitter.com/mrmacaronii/status/1228403628223934464
2020-02-13 17:25:37,mrmacaronii,,198,1195,3127,"#ValentinesIsComing where is your boyfriend? pic.twitter.com/9Vf03mK2MB",,,#ValentinesIsComing,1228007331134345216,https://twitter.com/mrmacaronii/status/1228007331134345216
2020-02-13 08:24:15,mrmacaronii,,26,264,1209,"Don’t judge others for loving differently. We all can’t be the same. Let love lead. #OG2020pic.twitter.com/xnAJSx9WAB",,,#OG2020pic,1227871089428135937,https://twitter.com/mrmacaronii/status/1227871089428135937
2020-02-10 10:38:44,mrmacaronii,,82,278,1594,"You are doing well!! Tell bad belle people Ooin!!!pic.twitter.com/QZZ3ofAdFQ",,,,1226817769456459776,https://twitter.com/mrmacaronii/status/1226817769456459776
2020-02-08 20:10:16,mrmacaronii,dhot_man,2,1,14,"You are doing well",,,,1226236827771850754,https://twitter.com/mrmacaronii/status/1226236827771850754
2020-02-08 18:33:14,mrmacaronii,,48,103,812,"So I’m at the salon, this elderly man recognizes me, walks up to me and says ‘hey mister, I am doing well. Pls give me a hug’ I almost shed a tear.",,,,1226212405518196736,https://twitter.com/mrmacaronii/status/1226212405518196736
2020-02-08 18:23:52,mrmacaronii,konibajebaby,3,3,46,"Needless to say that you are doing fantabulously well God bless you.",,,,1226210048101298182,https://twitter.com/mrmacaronii/status/1226210048101298182
2020-02-08 17:40:53,mrmacaronii,EngrWolesola,1,1,12,"Na God!! God bless you",,,,1226199232610213889,https://twitter.com/mrmacaronii/status/1226199232610213889
2020-02-08 17:39:23,mrmacaronii,AdaObani,4,0,2,"Love u right back",,,,1226198855374516224,https://twitter.com/mrmacaronii/status/1226198855374516224
2020-02-08 16:19:56,mrmacaronii,KenzieLoaf,1,0,3,"Thank you so much",,,,1226178860439478273,https://twitter.com/mrmacaronii/status/1226178860439478273
2020-02-08 09:36:02,mrmacaronii,,184,1421,3360,"The rich also cry pic.twitter.com/KnsLLKSPSg",,,,1226077215584145408,https://twitter.com/mrmacaronii/status/1226077215584145408
